Others
"Adams, R.P. 2008. Junipers of the World: The genus Juniperus. 2nd ed. Trafford Publ., Vancouver."
"Albach, D.C., P. Schönswetter & A. Tribsch. 2006. Comparative phylogeography of the Veronica alpina complex in Europe and North America. Molecular Ecology 15: 3269-3286."
"Baldwin, B.G., D.H. Goldman, D.J. Keil, R. Patterson, T.J. Rosatti & D.H. Wilken. 2012. The Jepson Manual: Vascular Plants of California. 2nd ed. University of California Press, Berkeley."
"Barberá, P., A. Quintanar, P.M. Peterson, R.J. Soreng, K. Romaschenko & C. Aedo. 2019. New combinations, new names, typifications, and a new section, sect. Hispanica, in Koeleria (Poeae, Poaceae). Phytoneuron 2019-46: 1–13"
"Barberá, P., R.J. Soreng, P.M. Peterson, K. Romaschenko, A. Quinanar & C. Aedo. 2019. Molecular phylogenetic analysis resolves Trisetum (Poaceae: Pooideae: Koeleriinae) polyphyletic: Evidence for a new genus, Sibirotrisetum and resurrection of Acrospelion. Journal of Systematics and Evolution"
"Cayouette, J. & P.M. Catling. 1992. Hybridization in the genus Carex with special reference to North America. Botanical Review 58 (4): 351-440."
"Cayouette, J. (ined.) Cyperaceae. In S. Payette, éd., Flore du Québec-Labrador nordique. (Herbier Louis-Marie, Université Laval, Québec.) (manuscrit non publié, sous révision)"
"DeChaine, E.G. 2014. Introducing the Spotted Saxifrages: Saxifraga Sect. Bronchiales, Sect. Nov. (Saxifragaceae). Rhodora 116: 25-40"
"Devos, N., O. Raspé, A.-L. Jacquemart & D. Tyteca. 2006. On the monophyly of Dactylorhiza Necker ex Nevski (Orchidaceae): is Coeloglossum viride (L.) Hartman a Dactylorhiza? Botanical Journal of the Linnean Society, 2006, 152 , 261–269"
"Farrar, D. 2008. Moonwort Systematics. Ada Hayden Herbarium (ISC), Iowa State University, Ames, Iowa. http://www.public.iastate.edu/~herbarium/botrychium.html (consulted 2010)"
"Finot, V.L., P.M. Peterson, R.J. Soreng & F.O. Zuolaga. 2005. A revision of Trisetum (Poaceae: Pooideae: Sveninae) in Mexico and Central America. Sida 21: 1419-1453."
"Frajman, B., M. Thollesson & B. Oxelman. 2013. Taxonomic revision of Atocion and Viscaria (Sileneae, Caryophyllaceae). Botanical Journal of the Linnean Society 173: 194-210."
International Plant Names Index (IPNI). 2004+. http://www.ipni.org/index.html
"Ito, Y., N. Tanaka, C. Kim, R.B. Kaul & D.C. Albach. 2016. Phylogeny of Sparganium (Typhaceae) revisited: nonmonophyletic nature of S. emersum sensu lato and resurrection of S. acaule. Plant Systematics and Evolution 302: 129-135"
"Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Les, D.H., N.M. Murray & N.P. Tippery. 2009. Systematics of two imperiled pondweeds ( Potamogeton vaseyi, P. gemmiparus) and taxonomic ramifications for subsection Pusilli (Potamogetonaceae). Systematic Botany 34: 643-651"
"Molina, A., C. Acedo & F. Llamas. 2008. Taxonomy and new taxa of the Carex divulsa aggregate in Eurasia (section Phaestoglochin, Cyperaceae). Botanical Journal of the Linnean Society 156: 385–409"
"Peterson P.M., K. Romaschenko, Y.H. Arrieta & J.M. Saarela. 2014. A molecular phylogeny and new subgeneric classification of Sporobolus (Poaceae: Chloridoideae: Sporobolinae). Taxon 63 :1212–1243"
"Peterson, P.M., R.J. Soreng, K. Romaschenko, P. Barberá, A. Quintanar, and C. Aedo. 2019. New combinations and new names in American Cinnagrostis, Peyritschia, and Deschampsia, and three new genera: Greeneochloa, Laegaardia, and Paramochloa (Poeae, Poaceae). Phytoneuron 2019-39: 1–23"
"Romaschenko, K., P.M. Peterson, R.J. Soreng,O. Futorna & A. Susanna. 2011. Phylogenetics of Piptatherum s.l. (Poaceae: Stipeae): Evidence for a new genus, Piptatheropsis, and resurrection of Patis. Taxon 60: 1703-1716."
"Semple, J.C. & J.A. Peirson. 2013. A revised nomenclature for the Solidago simplex complex (Asteraceae: Astereae). Phytoneuron 2013-41. 1-"
"Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Soreng,R.J.,  L.J. Gillespie & L.L. Consaul. 2017. Taxonomy of the Poa laxa group, including two new taxa from Arctic Canada and Greenland, and Oregon, and a re-examination of P. sect. Oreinos (Poaceae). Nordic Journal of Botany 35: 513-538"
"WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Whittemore, A.T. 2009. What is Ranunculus gelidus (Ranunculaceae)? Journal of the Botanical Research Institute of Texas 3(1): 245-250"
